date,Python,C,C++,Java,C#,JS,Go,VB,SQL,Fortran
2003-09,1.77,17.00,16.31,23.08,1.90,1.92,0,0,3.70,0.78
2003-10,1.10,18.47,17.42,25.01,1.71,1.74,0,0,2.93,0.56
2003-11,1.13,18.60,16.08,23.57,1.80,1.74,0,0,3.10,0.54
2003-12,1.03,18.25,14.63,24.79,1.99,2.92,0,0,2.56,1.14
2004-01,1.02,18.93,14.50,23.17,2.24,2.06,0,0,3.10,0.50
2004-02,1.01,17.75,15.99,24.24,2.14,1.78,0,0,2.97,0.51
2004-03,4.57,17.95,12.27,18.69,1.88,1.78,0,0,2.44,0.38
2004-04,6.58,18.29,12.55,17.54,1.65,1.45,0,0,2.44,0.37
2004-05,4.96,17.14,13.44,17.05,1.67,1.61,0,0,2.44,0.34
2004-06,4.70,16.33,15.31,17.00,1.63,1.68,0,0,2.44,0.33
2004-07,5.60,17.12,14.92,15.90,1.63,1.51,0,0,2.44,0.28
2004-08,4.44,18.17,15.02,17.05,1.64,1.27,0,0,2.44,0.37
2004-09,5.20,17.99,13.86,14.80,1.50,1.20,0,0,2.44,0.43
2004-10,3.03,19.70,11.91,16.33,1.95,1.59,0,0,2.44,0.50
2004-11,2.84,20.71,11.93,17.48,2.20,1.70,0,0,2.44,0.52
2004-12,1.01,18.20,15.71,22.56,2.18,2.14,0,0,3.51,0.48
2005-01,2.42,19.47,11.63,18.87,2.53,1.65,0,0,3.51,0.89
2005-02,2.70,18.63,10.19,16.98,2.82,1.64,0,0,3.51,1.05
2005-03,2.48,18.52,9.90,17.40,2.77,1.44,0,0,3.51,1.06
2005-04,2.80,19.37,9.72,18.57,2.78,1.39,0,0,3.51,0.82
2005-05,2.52,19.85,11.06,19.66,3.14,1.78,0,0,3.51,0.79
2005-06,2.88,19.47,10.51,21.21,3.48,1.92,0,0,3.51,0.59
2005-07,3.03,19.16,11.17,22.44,3.29,1.77,0,0,3.51,0.60
2005-08,2.88,18.77,11.82,21.87,3.46,2.04,0,0,3.51,0.64
2005-11,2.68,19.63,11.03,22.13,3.31,1.84,0,0,3.51,0.45
2005-12,2.51,19.82,11.34,18.34,2.36,1.78,0,0,3.51,0.52
2006-01,2.67,18.33,11.30,22.43,3.97,1.51,0,0,3.51,0.48
2006-02,3.09,17.79,11.16,21.89,3.15,1.73,0,0,3.51,0.46
2006-03,2.76,17.69,10.90,21.28,3.95,1.57,0,0,3.51,0.46
2006-04,3.04,17.69,10.94,21.32,3.27,2.19,0,0,3.51,0.43
2006-05,3.46,18.25,10.67,21.13,3.24,1.46,0,0,3.51,0.43
2006-06,3.02,17.83,9.78,21.85,3.40,2.11,0,0,3.51,0.37
2006-07,3.07,17.43,10.25,22.38,2.68,2.02,0,0,3.51,0.39
2006-08,3.14,18.06,10.75,21.53,2.99,2.44,0,0,3.51,0.40
2006-09,3.47,17.66,11.06,21.17,3.06,2.20,0,0,3.51,0.40
2006-10,3.64,17.20,11.05,20.40,3.02,2.31,0,0,3.51,0.39
2006-11,3.76,16.62,10.41,19.91,3.17,2.56,0,0,3.51,0.45
2006-12,2.60,19.01,11.46,22.25,3.55,1.54,0,0,3.51,0.47
2007-01,3.57,16.10,10.77,18.98,3.19,2.98,0,0,3.51,0.52
2007-02,3.90,15.63,11.11,18.04,3.37,3.49,0,0,3.51,0.53
2007-03,3.81,14.94,10.72,18.36,3.55,3.14,0,0,3.51,0.61
2007-04,3.78,15.15,10.11,19.14,3.66,3.07,0,0,3.51,0.63
2007-05,3.16,15.97,11.12,20.03,3.48,2.62,0,0,3.51,0.58
2007-06,3.02,16.36,10.50,21.01,3.71,2.51,0,0,3.51,0.56
2007-07,2.75,15.70,10.11,21.77,3.99,2.58,0,0,3.51,0.46
2007-08,3.03,14.91,9.94,21.70,3.58,2.72,0,0,3.51,0.48
2007-09,3.43,14.59,9.58,21.62,3.74,2.68,0,0,3.51,0.45
2007-10,4.23,13.97,8.75,20.54,3.92,2.93,0,0,3.51,0.60
2007-11,4.70,13.17,7.87,20.05,3.99,2.73,0,0,3.51,0.70
2007-12,3.50,15.81,10.42,19.16,3.52,2.84,0,0,3.51,0.48
2008-01,4.76,14.86,9.27,21.48,4.51,2.33,0,0,3.51,0.25
2008-05,4.90,15.51,10.81,20.89,4.06,2.93,0,0,3.51,0.33
2008-06,4.97,15.95,10.69,21.34,4.00,2.76,0,0,3.51,0.29
2008-07,4.98,16.18,10.06,21.57,3.70,2.89,0,0,3.51,0.29
2008-08,5.01,15.38,10.72,20.71,4.33,3.13,0,0,3.51,0.30
2008-09,4.56,15.57,10.95,20.95,3.77,2.67,0,0,3.51,0.38
2008-10,5.14,15.28,10.36,20.30,4.03,2.93,0,0,3.51,0.38
2008-11,4.17,15.02,10.10,17.92,4.58,2.97,0,0,3.51,0.35
2008-12,5.54,13.92,8.73,20.85,4.86,3.20,0,0,3.51,0.31
2009-01,4.57,15.84,9.63,19.40,5.06,3.54,0,0,3.51,0.31
2009-02,5.18,15.86,10.36,19.80,4.32,3.61,0,0,3.51,0.32
2009-03,6.08,15.47,10.74,19.34,4.06,3.68,0,0,3.51,0.34
2009-04,5.55,16.13,11.07,19.54,4.27,3.55,0,0,3.51,0.36
2009-05,4.76,16.78,10.59,20.15,4.54,4.02,0,0,3.51,0.37
2009-06,4.43,17.32,10.42,20.45,4.54,3.51,0,0,3.51,0.40
2009-07,4.49,17.22,10.50,19.53,4.44,2.81,0,0,3.51,0.40
2009-08,3.93,16.86,9.99,19.38,4.19,3.00,0,0,3.51,0.37
2009-09,3.90,16.84,9.88,18.65,4.42,3.03,0,0,3.51,0.38
2009-10,4.67,17.32,10.00,18.37,5.35,2.92,0,0,3.51,0.38
2009-11,5.19,16.28,9.18,17.06,6.26,3.51,0,0,3.51,0.43
2009-12,4.73,15.93,10.12,19.02,5.61,3.36,0,0,3.51,0.32
2010-01,4.31,16.60,9.45,17.35,5.01,2.64,1.78,0,3.51,0.38
2010-02,4.23,17.28,9.61,17.51,4.26,2.65,0.92,0,3.51,0.56
2010-03,4.21,18.06,9.71,18.05,4.43,2.47,0.71,0,3.51,0.35
2010-04,4.10,18.19,10.38,17.96,4.78,2.08,0.64,0,3.51,0.41
2010-06,4.22,17.87,9.66,17.99,4.99,2.40,0.60,0,3.51,0.35
2010-08,4.58,17.15,9.81,17.92,5.02,1.66,0.73,0.33,3.51,0.46
2010-09,4.86,17.18,9.80,18.17,4.96,1.66,0.63,0.33,3.51,0.46
2010-10,5.68,16.72,9.50,18.51,5.71,1.66,0.55,0.32,3.51,0.48
2010-11,6.48,16.08,9.01,18.00,6.69,1.51,0.59,0.26,3.51,0.43
2010-12,4.45,16.22,9.71,17.48,5.77,2.71,1.25,0.26,3.51,0.39
2011-01,7.04,14.99,8.19,18.48,6.81,2.56,0.71,0.59,3.51,0.58
2011-02,5.74,15.26,8.75,19.71,7.21,1.87,0.96,0.56,3.51,0.35
2011-03,4.93,16.16,9.23,19.04,7.19,1.51,0.56,0.34,3.51,0.39
2011-04,4.58,16.17,9.15,18.16,7.54,1.39,0.49,0.48,3.51,0.50
2011-05,3.90,16.28,9.83,18.58,6.84,1.50,0.42,0.43,3.51,0.39
2011-06,3.58,17.28,9.02,19.25,6.22,2.24,0.37,0.48,3.51,0.35
2011-07,3.41,17.39,8.43,19.41,6.04,1.56,0.48,0.46,3.51,0.39
2011-08,4.00,18.00,8.85,18.76,6.82,1.47,0.36,0.31,3.51,0.37
2011-09,3.94,17.71,9.07,17.91,6.72,2.19,0.37,0.48,3.51,0.38
2011-10,3.62,17.32,8.08,17.87,7.32,2.56,0.36,0.53,3.51,0.44
2011-11,3.49,17.06,8.25,17.56,8.21,2.20,0.39,0.36,3.51,0.48
2011-12,6.26,15.82,8.78,17.77,6.23,1.59,0.59,0.26,3.51,0.46
2012-01,3.15,16.52,7.85,17.05,8.65,2.46,0.28,0.80,3.51,0.52
2012-02,3.29,17.09,8.05,17.11,8.24,3.39,0.09,0.78,3.51,0.49
2012-03,3.66,17.55,8.90,17.03,7.35,2.88,0.10,0.98,3.51,0.40
2012-04,3.82,17.35,9.82,16.60,6.82,2.13,0.10,1.27,3.51,0.41
2012-05,3.85,17.72,9.36,16.26,7.03,1.47,0.11,1.22,3.51,0.45
2012-06,4.00,18.33,9.12,16.09,6.67,1.45,0.11,0.92,3.51,0.45
2012-07,3.88,18.94,9.33,16.35,6.59,1.37,0.12,0.88,3.51,0.44
2012-08,3.86,19.30,9.15,16.27,6.60,1.33,0.11,0.84,3.51,0.43
2012-09,3.90,19.82,9.26,17.19,6.53,1.26,0.11,0.60,3.51,0.42
2012-10,4.06,19.22,9.70,17.46,5.59,1.28,0.11,0.77,3.51,0.44
2012-11,3.85,18.70,9.20,17.57,5.55,1.32,0.11,0.89,3.51,0.44
2012-12,3.21,16.97,8.05,17.47,8.76,2.32,0.47,0.48,3.51,0.43
2013-01,4.95,17.08,8.76,18.39,6.68,1.42,0.11,1.01,3.51,0.46
2013-02,4.39,17.14,9.11,18.16,6.60,1.37,0.12,0.89,3.51,0.45
2013-03,4.44,17.86,9.71,17.68,6.15,1.51,0.11,1.10,3.51,0.41
2013-04,4.32,18.73,9.20,16.91,6.12,1.54,0.11,1.13,3.51,0.42
2013-05,4.18,17.81,8.82,16.66,5.78,1.65,0.11,1.07,3.51,0.41
2013-06,4.03,17.63,8.75,15.91,6.21,1.84,0.22,1.25,3.51,0.41
2013-07,3.60,15.97,9.37,15.98,6.12,2.09,0.51,1.32,3.51,0.41
2013-08,3.17,16.98,8.66,16.15,5.56,2.01,0.22,1.84,3.51,0.54
2013-09,3.11,17.25,8.66,16.11,5.72,2.04,0.19,1.93,3.51,0.47
2013-10,3.11,18.16,8.37,16.52,6.02,2.05,0.21,1.97,3.51,0.48
2013-11,2.21,17.89,8.27,17.31,5.62,1.85,0.26,1.69,3.51,0.39
2013-12,4.17,17.85,9.14,17.42,6.20,1.98,0.12,1.04,3.51,0.46
2014-01,2.16,18.33,6.89,17.32,6.45,1.93,0.32,1.80,3.51,0.36
2014-02,2.02,17.53,6.31,16.41,5.57,1.90,0.29,1.86,3.51,0.36
2014-03,1.99,17.63,6.14,17.35,4.82,1.75,0.32,1.75,3.51,0.35
2014-04,3.06,16.93,5.99,16.91,3.75,1.79,0.42,1.26,3.51,0.42
2014-05,2.71,16.19,6.43,16.11,3.94,2.00,0.42,1.91,3.51,0.37
2014-06,2.66,17.14,5.52,15.69,4.05,1.81,0.40,1.49,3.51,0.38
2014-07,3.12,16.40,4.70,14.98,3.41,2.17,0.37,2.01,3.51,0.43
2014-08,2.78,16.72,4.67,14.14,4.35,2.45,0.40,1.27,3.51,0.41
2014-09,2.33,17.66,4.87,13.51,4.75,1.77,0.33,1.56,3.51,0.39
2014-10,2.59,17.47,6.10,14.39,4.98,2.09,0.33,1.66,3.51,0.55
2014-11,2.29,17.59,6.10,14.96,4.33,2.43,0.26,1.80,3.51,0.54
2014-12,2.37,17.94,7.56,16.52,5.85,1.58,0.32,1.56,3.51,0.41
2015-01,2.88,16.49,6.61,15.34,5.74,3.51,0.30,1.72,3.51,0.54
2015-02,2.61,16.64,6.64,15.58,4.92,3.63,0.26,1.95,3.51,0.61
2015-03,2.69,15.75,6.96,16.04,4.95,3.30,0.30,2.20,3.51,0.60
2015-04,3.72,16.85,7.87,16.87,5.26,3.13,0.03,1.89,3.51,0.62
2015-05,4.00,16.79,7.76,17.82,5.06,2.30,0.06,1.84,3.51,0.58
2015-06,4.26,16.15,8.64,17.73,5.65,2.19,0.06,1.95,3.51,0.77
2015-07,4.07,14.73,7.74,19.27,4.84,2.16,0.08,1.78,3.51,0.85
2015-08,3.66,15.62,6.78,19.56,4.91,2.34,0.25,1.53,3.51,0.89
2015-09,4.51,16.19,5.75,19.54,4.82,2.29,0.14,1.51,3.51,0.84
2015-10,3.77,17.15,6.20,20.40,4.32,2.47,0.20,1.68,3.51,0.83
2015-11,4.43,16.46,5.94,20.97,4.11,2.36,0.19,1.65,3.51,0.82
2015-12,2.61,16.70,6.70,15.53,5.05,3.27,0.10,1.07,3.51,0.27
2016-01,4.18,15.59,6.91,21.14,4.40,2.20,0.29,1.86,3.51,0.67
2016-02,4.26,14.60,6.72,20.53,4.27,2.33,0.20,1.67,3.51,0.79
2016-03,3.33,13.91,5.92,20.85,3.80,2.57,0.24,1.61,3.51,0.76
2016-04,3.79,13.22,6.70,20.96,4.48,2.34,0.25,1.83,3.51,0.70
2016-05,3.90,12.38,6.20,20.79,3.79,2.58,0.21,2.25,3.51,0.96
2016-06,4.17,12.24,6.31,19.80,3.92,2.64,0.16,2.01,3.51,0.94
2016-07,4.40,11.30,5.80,19.01,4.91,2.71,1.27,2.05,3.51,0.75
2016-08,4.30,10.95,6.66,18.24,5.49,2.93,1.62,1.76,3.51,0.68
2016-09,3.77,9.84,5.80,18.80,4.37,2.75,1.81,1.99,3.51,0.74
2016-10,3.57,9.20,5.41,18.75,3.66,2.71,2.00,1.92,3.51,0.74
2016-11,4.24,8.73,5.34,17.86,3.17,2.86,1.94,1.97,3.51,0.75
2016-12,3.85,16.04,6.91,21.47,4.71,2.57,0.16,1.68,3.51,0.85
2017-01,4.04,8.44,5.43,16.68,4.90,2.87,2.10,1.88,3.51,0.83
2017-02,3.92,7.74,5.18,16.38,4.41,2.67,1.98,2.01,3.51,0.74
2017-03,3.46,6.97,4.55,15.57,3.58,2.85,1.97,2.06,3.51,0.80
2017-04,3.55,7.00,4.75,14.64,3.46,3.07,2.08,2.35,3.51,0.76
2017-05,4.33,6.85,5.72,14.49,3.53,3.02,2.04,2.01,3.51,0.78
2017-06,3.54,7.32,5.58,13.77,3.52,2.61,2.36,2.10,3.51,0.86
2017-07,3.69,6.48,5.55,12.96,4.20,2.10,1.65,1.81,3.51,0.67
2017-08,2.98,7.38,5.56,12.69,4.78,2.02,1.57,1.75,3.51,0.88
2017-09,3.80,8.37,5.01,12.43,3.86,3.01,1.36,1.42,3.51,1.00
2017-10,4.48,9.29,5.34,13.23,3.01,2.97,1.57,1.49,3.51,0.67
2017-11,3.78,10.16,4.72,13.27,2.82,2.47,1.39,1.35,3.51,0.66
2017-12,3.46,9.35,6.30,17.28,4.04,2.85,2.33,1.91,3.51,0.74
2018-01,5.17,11.86,5.73,14.99,4.45,3.16,1.42,2.18,2.36,0.48
2018-02,5.87,12.76,6.45,14.94,5.07,3.92,1.44,1.74,2.69,0.46
2018-03,5.80,13.59,7.22,15.78,5.27,3.49,1.18,1.80,2.65,0.39
2018-04,5.19,14.00,7.67,16.38,4.40,2.92,0.97,0.91,1.99,0.42
2018-05,5.76,14.94,8.34,15.37,4.31,2.50,0.88,1.15,2.34,0.32
2018-06,6.36,14.66,7.62,16.14,3.79,2.83,0.97,0.89,2.33,0.37
2018-07,6.99,14.97,7.47,16.88,3.54,2.41,1.00,0.92,2.32,0.40
2018-08,7.65,15.45,7.39,17.44,3.30,2.13,1.08,0.68,2.06,0.42
2018-09,7.16,15.38,7.59,17.80,3.49,2.28,1.25,0.65,2.04,0.37
2018-10,7.68,14.40,8.28,16.75,3.95,2.66,1.50,0.85,1.84,0.38
2018-11,8.38,14.28,7.56,15.93,3.45,3.06,1.19,0.98,2.18,0.48
2018-12,4.68,11.04,5.60,14.22,3.75,3.47,1.57,2.31,2.18,0.43
2019-01,7.57,12.42,7.44,15.88,2.85,2.85,0.96,0.99,1.90,0.51
2019-02,8.26,13.31,8.13,14.88,3.27,2.43,1.02,0.95,1.93,0.47
2019-03,8.17,14.08,8.84,15.04,3.52,2.51,1.01,1.06,2.27,0.56
2019-04,7.83,14.24,8.10,16.00,3.98,2.69,1.11,1.32,2.56,0.52
2019-05,8.53,13.30,7.38,15.00,4.48,2.72,1.26,1.07,2.22,0.48
2019-06,9.26,14.21,6.70,15.06,4.36,2.30,1.02,1.01,1.98,0.38
2019-07,10.02,15.15,6.06,16.03,3.84,2.26,0.97,1.02,1.63,0.36
2019-08,9.87,15.21,5.64,16.66,3.40,2.13,1.22,1.08,1.94,0.36
2019-09,9.09,16.18,6.23,16.88,3.86,2.08,1.10,1.23,1.93,0.44
2019-10,9.84,16.04,5.60,16.25,4.32,1.93,0.85,0.96,1.69,0.39
2019-11,10.31,16.09,6.20,17.25,4.80,2.09,1.00,0.93,1.84,0.39
2019-12,8.29,13.34,8.16,16.90,3.28,3.30,1.12,1.03,2.28,0.44
2020-01,9.35,16.77,6.16,17.36,5.93,2.06,1.13,0.60,1.53,0.23
2020-02,10.11,16.33,6.79,17.78,5.32,2.05,1.28,0.77,1.83,0.29
2020-03,9.31,16.72,6.78,16.73,4.74,2.38,1.36,4.72,2.17,0.33
2020-04,9.12,17.07,6.13,16.28,4.29,2.68,1.27,4.18,2.09,0.32
2020-05,8.36,17.19,5.95,16.10,4.73,2.27,1.02,4.69,1.73,0.27
2020-06,9.09,16.45,6.21,15.10,5.25,2.48,1.21,5.23,1.40,0.22
2020-07,9.69,16.98,6.84,14.43,4.68,2.87,1.43,4.66,1.46,0.31
2020-08,10.47,15.95,7.11,13.48,4.58,2.54,1.46,4.12,1.76,0.36
2020-09,11.28,16.95,6.94,12.56,4.16,2.14,1.16,3.97,1.57,0.38
2020-10,12.12,16.21,7.60,11.68,4.67,2.03,1.36,4.01,1.54,0.41
2020-11,12.21,16.48,6.91,12.53,4.20,2.35,1.14,3.92,1.53,0.45
2020-12,9.70,15.77,5.57,16.90,5.35,2.45,0.90,0.83,1.50,0.31
2021-01,10.86,16.34,6.88,11.29,4.44,2.27,1.28,4.33,1.72,0.63
2021-02,10.31,15.33,6.52,10.45,4.97,2.11,1.31,4.85,1.87,0.83
2021-03,11.03,14.32,7.14,11.23,4.91,2.44,1.22,4.55,1.83,0.91
2021-04,11.87,13.38,7.81,11.74,4.41,2.45,1.22,4.02,1.71,0.83
2021-05,11.84,12.54,7.36,11.54,4.33,2.33,0.95,4.01,1.88,1.07
2021-06,10.96,11.63,8.02,11.20,4.84,2.71,1.17,4.50,1.53,1.12
2021-07,11.86,12.57,7.36,10.43,5.14,2.95,0.90,4.67,1.47,1.14
2021-08,11.67,11.83,7.13,11.12,5.78,2.55,1.13,4.62,1.80,1.01
2021-09,11.27,11.16,7.50,10.46,5.26,2.19,1.28,5.24,2.17,1.08
2021-10,11.77,10.72,8.28,10.72,6.06,2.66,1.21,5.72,2.11,1.19
2021-11,12.90,11.80,7.73,10.12,6.40,2.30,0.95,5.40,1.79,1.04
2021-12,11.72,17.38,7.56,11.96,3.95,2.20,1.41,3.84,1.61,0.46
2022-01,15.33,14.08,8.01,12.13,5.37,1.83,1.23,5.23,1.55,0.58
2022-02,14.26,13.06,8.66,11.19,5.92,2.09,0.98,5.77,1.85,0.39
2022-03,13.92,12.71,8.28,10.82,6.82,2.41,1.09,5.40,2.28,0.35
2022-04,12.74,11.59,8.83,10.99,6.39,2.12,1.11,5.86,1.87,0.38
2022-05,12.20,11.91,9.63,10.47,6.12,2.09,1.02,5.42,1.94,0.55
2022-06,13.44,13.13,10.00,11.59,5.65,1.78,1.14,4.97,1.64,0.76
2022-07,15.63,14.76,10.14,12.46,5.41,2.40,0.96,4.90,1.67,0.80
2022-08,15.74,13.96,9.76,11.72,4.88,2.82,1.16,4.39,2.01,1.03
2022-09,17.08,15.21,9.92,12.84,4.42,2.74,1.27,3.95,1.78,0.79
2022-10,17.18,15.08,10.75,11.98,4.25,2.74,1.15,4.11,1.82,0.57
2022-11,16.36,16.26,12.91,12.21,5.73,2.87,1.14,4.64,2.50,0.45
2022-12,13.58,12.44,8.29,10.66,5.68,2.09,1.04,4.74,1.80,0.77
2023-01,15.49,15.39,13.94,13.21,6.38,2.52,1.11,4.14,2.12,0.58
2023-02,14.83,14.73,13.29,13.56,7.17,2.17,1.24,4.75,1.95,0.79
2023-03,14.51,14.41,12.96,13.23,8.21,2.10,1.28,4.40,1.68,0.59
2023-04,13.45,13.35,11.96,12.22,7.43,2.44,0.99,3.84,1.48,0.78
2023-05,12.46,12.37,11.36,11.28,6.71,2.82,1.00,3.34,1.47,0.99
2023-06,13.42,11.56,10.80,10.50,6.87,3.11,1.07,2.90,1.48,1.25
2023-07,13.33,11.41,10.63,10.33,7.04,3.29,1.16,2.63,1.53,1.03
2023-08,14.16,11.27,10.65,9.49,7.31,3.30,1.19,2.22,1.44,1.28
2023-09,14.82,12.08,10.67,8.92,7.71,2.91,1.37,2.13,1.78,1.02
2023-10,14.16,11.77,10.36,8.35,7.65,3.21,1.19,2.10,1.88,1.30
2023-11,13.86,11.44,10.01,7.99,7.30,2.90,1.03,1.82,1.61,1.07
2023-12,13.97,11.44,9.96,7.87,7.16,2.77,1.38,1.60,1.46,1.09
2024-01,15.16,10.97,10.53,8.88,7.53,3.17,1.73,1.52,1.82,1.40
2024-02,15.63,11.17,10.70,8.95,7.54,3.38,1.56,1.42,1.92,1.22
